row_type,session_id,run_id,agent_type,analyze_target,episode,winner,result_for_analyzed,duration_sec,agent_a_final_hp,agent_b_final_hp,attack_count,block_count,dodge_count,move_toward_count,move_back_count,move_side_count,total_action_count,attack_ratio_percent,block_ratio_percent,dodge_ratio_percent,move_toward_ratio_percent,move_back_ratio_percent,move_side_ratio_percent
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",1,"A","win",23.011,100.000,0.000,8,6,0,10,4,6,34,23.529,17.647,0.000,29.412,11.765,17.647
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",2,"A","win",23.480,100.000,0.000,8,6,0,12,5,5,36,22.222,16.667,0.000,33.333,13.889,13.889
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",3,"A","win",16.861,100.000,0.000,6,5,0,7,4,1,23,26.087,21.739,0.000,30.435,17.391,4.348
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",4,"A","win",25.196,80.000,0.000,8,7,0,13,6,5,39,20.513,17.949,0.000,33.333,15.385,12.821
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",5,"A","win",21.112,100.000,0.000,7,5,0,11,4,4,31,22.581,16.129,0.000,35.484,12.903,12.903
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",6,"A","win",25.386,100.000,0.000,8,7,0,12,4,3,34,23.529,20.588,0.000,35.294,11.765,8.824
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",7,"A","win",17.228,100.000,0.000,6,5,0,7,2,4,24,25.000,20.833,0.000,29.167,8.333,16.667
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",8,"A","win",25.585,100.000,0.000,8,7,0,13,6,5,39,20.513,17.949,0.000,33.333,15.385,12.821
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",9,"TimeoutDraw","timeout",60.160,100.000,20.000,18,13,0,31,17,9,88,20.455,14.773,0.000,35.227,19.318,10.227
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",10,"A","win",21.809,100.000,0.000,7,6,0,12,4,3,32,21.875,18.750,0.000,37.500,12.500,9.375
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",11,"A","win",37.455,100.000,0.000,11,10,0,21,11,3,56,19.643,17.857,0.000,37.500,19.643,5.357
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",12,"A","win",21.579,100.000,0.000,7,5,0,12,6,4,34,20.588,14.706,0.000,35.294,17.647,11.765
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",13,"A","win",21.609,100.000,0.000,7,6,0,11,7,4,35,20.000,17.143,0.000,31.429,20.000,11.429
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",14,"A","win",49.953,100.000,0.000,14,13,0,28,15,9,79,17.722,16.456,0.000,35.443,18.987,11.392
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",15,"A","win",32.633,60.000,0.000,10,8,0,21,9,4,52,19.231,15.385,0.000,40.385,17.308,7.692
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",16,"A","win",24.094,100.000,0.000,9,6,0,11,4,3,33,27.273,18.182,0.000,33.333,12.121,9.091
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",17,"A","win",17.969,100.000,0.000,6,5,0,7,2,3,23,26.087,21.739,0.000,30.435,8.696,13.043
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",18,"A","win",27.048,100.000,0.000,9,7,0,14,7,6,43,20.930,16.279,0.000,32.558,16.279,13.953
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",19,"A","win",25.226,80.000,0.000,8,7,0,12,7,4,38,21.053,18.421,0.000,31.579,18.421,10.526
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",20,"A","win",23.932,80.000,0.000,8,6,0,12,4,5,35,22.857,17.143,0.000,34.286,11.429,14.286
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",21,"A","win",36.272,100.000,0.000,10,10,0,18,8,7,53,18.868,18.868,0.000,33.962,15.094,13.208
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",22,"A","win",32.479,100.000,0.000,10,8,0,19,6,8,51,19.608,15.686,0.000,37.255,11.765,15.686
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",23,"TimeoutDraw","timeout",60.116,80.000,20.000,15,10,0,30,23,8,86,17.442,11.628,0.000,34.884,26.744,9.302
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",24,"A","win",30.898,80.000,0.000,10,8,0,15,8,3,44,22.727,18.182,0.000,34.091,18.182,6.818
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",25,"A","win",26.573,100.000,0.000,9,8,0,12,3,5,37,24.324,21.622,0.000,32.432,8.108,13.514
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",26,"A","win",23.279,100.000,0.000,8,6,0,13,8,3,38,21.053,15.789,0.000,34.211,21.053,7.895
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",27,"A","win",27.668,100.000,0.000,9,7,0,14,4,6,40,22.500,17.500,0.000,35.000,10.000,15.000
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",28,"A","win",21.529,80.000,0.000,6,6,0,11,5,2,30,20.000,20.000,0.000,36.667,16.667,6.667
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",29,"A","win",35.031,60.000,0.000,11,10,0,18,6,7,52,21.154,19.231,0.000,34.615,11.538,13.462
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",30,"A","win",41.784,100.000,0.000,12,12,0,22,13,8,67,17.910,17.910,0.000,32.836,19.403,11.940
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",31,"A","win",22.586,80.000,0.000,8,6,0,13,4,6,37,21.622,16.216,0.000,35.135,10.811,16.216
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",32,"A","win",35.359,80.000,0.000,11,9,0,18,4,8,50,22.000,18.000,0.000,36.000,8.000,16.000
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",33,"A","win",17.873,100.000,0.000,6,5,0,8,4,3,26,23.077,19.231,0.000,30.769,15.385,11.538
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",34,"A","win",35.005,80.000,0.000,11,9,0,18,12,10,60,18.333,15.000,0.000,30.000,20.000,16.667
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",35,"A","win",25.103,100.000,0.000,8,7,0,13,4,5,37,21.622,18.919,0.000,35.135,10.811,13.514
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",36,"A","win",25.069,100.000,0.000,8,7,0,13,5,3,36,22.222,19.444,0.000,36.111,13.889,8.333
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",37,"A","win",25.113,100.000,0.000,8,7,0,12,6,5,38,21.053,18.421,0.000,31.579,15.789,13.158
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",38,"A","win",28.661,80.000,0.000,9,7,0,17,6,4,43,20.930,16.279,0.000,39.535,13.953,9.302
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",39,"A","win",33.939,100.000,0.000,11,10,0,22,8,6,57,19.298,17.544,0.000,38.596,14.035,10.526
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",40,"TimeoutDraw","timeout",60.032,100.000,60.000,16,11,0,47,39,14,127,12.598,8.661,0.000,37.008,30.709,11.024
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",41,"A","win",19.776,100.000,0.000,7,6,0,11,4,5,33,21.212,18.182,0.000,33.333,12.121,15.152
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",42,"A","win",16.936,80.000,0.000,6,5,0,10,3,2,26,23.077,19.231,0.000,38.462,11.538,7.692
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",43,"A","win",29.536,100.000,0.000,10,8,0,17,6,4,45,22.222,17.778,0.000,37.778,13.333,8.889
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",44,"A","win",25.147,100.000,0.000,9,8,0,15,8,5,45,20.000,17.778,0.000,33.333,17.778,11.111
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",45,"TimeoutDraw","timeout",60.073,100.000,80.000,16,11,0,54,34,17,132,12.121,8.333,0.000,40.909,25.758,12.879
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",46,"A","win",20.571,100.000,0.000,8,6,0,12,5,4,35,22.857,17.143,0.000,34.286,14.286,11.429
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",47,"TimeoutDraw","timeout",60.079,100.000,20.000,13,9,0,52,41,6,121,10.744,7.438,0.000,42.975,33.884,4.959
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",48,"A","win",32.568,100.000,0.000,11,10,0,23,10,6,60,18.333,16.667,0.000,38.333,16.667,10.000
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",49,"A","win",22.012,100.000,0.000,8,7,0,17,6,6,44,18.182,15.909,0.000,38.636,13.636,13.636
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",50,"TimeoutDraw","timeout",60.155,100.000,60.000,14,12,0,64,52,17,159,8.805,7.547,0.000,40.252,32.704,10.692
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",51,"A","win",36.516,100.000,0.000,13,11,0,26,11,7,68,19.118,16.176,0.000,38.235,16.176,10.294
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",52,"A","win",19.199,100.000,0.000,7,6,0,13,6,6,38,18.421,15.789,0.000,34.211,15.789,15.789
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",53,"TimeoutDraw","timeout",60.052,100.000,20.000,18,14,0,52,41,10,135,13.333,10.370,0.000,38.519,30.370,7.407
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",54,"A","win",27.151,100.000,0.000,10,9,0,15,6,6,46,21.739,19.565,0.000,32.609,13.043,13.043
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",55,"A","win",27.464,100.000,0.000,10,9,0,19,7,4,49,20.408,18.367,0.000,38.776,14.286,8.163
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",56,"A","win",49.020,100.000,0.000,17,16,0,40,18,11,102,16.667,15.686,0.000,39.216,17.647,10.784
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",57,"TimeoutDraw","timeout",60.116,100.000,20.000,16,13,0,46,36,11,122,13.115,10.656,0.000,37.705,29.508,9.016
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",58,"A","win",21.000,100.000,0.000,8,6,0,15,5,6,40,20.000,15.000,0.000,37.500,12.500,15.000
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",59,"A","win",21.866,100.000,0.000,8,7,0,14,7,5,41,19.512,17.073,0.000,34.146,17.073,12.195
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",60,"TimeoutDraw","timeout",60.007,100.000,40.000,17,11,0,63,45,18,154,11.039,7.143,0.000,40.909,29.221,11.688
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",61,"TimeoutDraw","timeout",60.114,100.000,40.000,15,12,0,46,32,19,124,12.097,9.677,0.000,37.097,25.806,15.323
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",62,"TimeoutDraw","timeout",60.205,100.000,20.000,18,15,0,52,41,14,140,12.857,10.714,0.000,37.143,29.286,10.000
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",63,"A","win",23.350,100.000,0.000,8,7,0,15,9,5,44,18.182,15.909,0.000,34.091,20.455,11.364
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",64,"A","win",21.001,100.000,0.000,8,6,0,12,5,4,35,22.857,17.143,0.000,34.286,14.286,11.429
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",65,"TimeoutDraw","timeout",60.034,100.000,20.000,15,13,0,44,34,12,118,12.712,11.017,0.000,37.288,28.814,10.169
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",66,"A","win",41.899,100.000,0.000,15,13,0,33,21,8,90,16.667,14.444,0.000,36.667,23.333,8.889
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",67,"TimeoutDraw","timeout",60.030,100.000,60.000,17,12,0,61,42,8,140,12.143,8.571,0.000,43.571,30.000,5.714
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",68,"A","win",22.248,100.000,0.000,8,7,0,13,5,5,38,21.053,18.421,0.000,34.211,13.158,13.158
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",69,"TimeoutDraw","timeout",60.071,100.000,60.000,16,12,0,54,34,12,128,12.500,9.375,0.000,42.188,26.563,9.375
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",70,"A","win",32.861,100.000,0.000,12,10,0,25,7,8,62,19.355,16.129,0.000,40.323,11.290,12.903
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",71,"TimeoutDraw","timeout",60.032,80.000,20.000,17,12,0,52,39,9,129,13.178,9.302,0.000,40.310,30.233,6.977
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",72,"A","win",36.190,100.000,0.000,13,12,0,27,19,9,80,16.250,15.000,0.000,33.750,23.750,11.250
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",73,"TimeoutDraw","timeout",60.051,100.000,80.000,17,16,0,53,38,16,140,12.143,11.429,0.000,37.857,27.143,11.429
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",74,"A","win",32.693,100.000,0.000,12,10,0,19,10,5,56,21.429,17.857,0.000,33.929,17.857,8.929
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",75,"TimeoutDraw","timeout",60.053,80.000,40.000,17,12,0,53,47,16,145,11.724,8.276,0.000,36.552,32.414,11.034
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",76,"A","win",27.212,100.000,0.000,10,8,0,21,11,6,56,17.857,14.286,0.000,37.500,19.643,10.714
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",77,"TimeoutDraw","timeout",60.122,100.000,40.000,18,15,0,58,37,24,152,11.842,9.868,0.000,38.158,24.342,15.789
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",78,"A","win",38.330,100.000,0.000,14,12,0,32,16,9,83,16.867,14.458,0.000,38.554,19.277,10.843
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",79,"TimeoutDraw","timeout",60.080,80.000,20.000,17,13,0,43,35,13,121,14.050,10.744,0.000,35.537,28.926,10.744
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",80,"A","win",32.111,100.000,0.000,12,10,0,22,10,7,61,19.672,16.393,0.000,36.066,16.393,11.475
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",81,"TimeoutDraw","timeout",60.091,100.000,40.000,18,15,0,51,34,15,133,13.534,11.278,0.000,38.346,25.564,11.278
"EPISODE","20260609_132909","Attack_RL_10_1","RL","AgentA",82,"A","win",24.560,100.000,0.000,9,7,0,14,10,5,45,20.000,15.556,0.000,31.111,22.222,11.111
