row_type,session_id,run_id,agent_type,analyze_target,episode,winner,result_for_analyzed,duration_sec,agent_a_final_hp,agent_b_final_hp,attack_count,block_count,dodge_count,move_toward_count,move_back_count,move_side_count,total_action_count,attack_ratio_percent,block_ratio_percent,dodge_ratio_percent,move_toward_ratio_percent,move_back_ratio_percent,move_side_ratio_percent
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",1,"B","win",19.708,0.000,60.000,7,6,3,6,28,49,99,7.071,6.061,3.030,6.061,28.283,49.495
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",2,"B","win",20.051,0.000,60.000,7,6,4,17,32,54,120,5.833,5.000,3.333,14.167,26.667,45.000
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",3,"B","win",20.160,0.000,60.000,7,6,4,5,19,15,56,12.500,10.714,7.143,8.929,33.929,26.786
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",4,"B","win",20.064,0.000,60.000,7,6,4,4,17,13,51,13.725,11.765,7.843,7.843,33.333,25.490
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",5,"B","win",20.154,0.000,60.000,7,6,4,6,17,13,53,13.208,11.321,7.547,11.321,32.075,24.528
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",6,"B","win",20.107,0.000,60.000,7,6,4,4,17,15,53,13.208,11.321,7.547,7.547,32.075,28.302
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",7,"B","win",20.115,0.000,60.000,7,6,4,5,18,16,56,12.500,10.714,7.143,8.929,32.143,28.571
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",8,"B","win",20.123,0.000,60.000,7,6,4,5,19,14,55,12.727,10.909,7.273,9.091,34.545,25.455
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",9,"B","win",20.197,0.000,60.000,7,6,4,5,19,14,55,12.727,10.909,7.273,9.091,34.545,25.455
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",10,"B","win",20.078,0.000,60.000,7,6,4,9,34,58,118,5.932,5.085,3.390,7.627,28.814,49.153
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",11,"B","win",20.097,0.000,60.000,7,6,4,8,25,35,85,8.235,7.059,4.706,9.412,29.412,41.176
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",12,"B","win",20.184,0.000,60.000,7,6,4,4,19,16,56,12.500,10.714,7.143,7.143,33.929,28.571
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",13,"B","win",20.173,0.000,60.000,7,6,4,6,19,14,56,12.500,10.714,7.143,10.714,33.929,25.000
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",14,"B","win",20.136,0.000,60.000,7,6,4,6,18,15,56,12.500,10.714,7.143,10.714,32.143,26.786
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",15,"B","win",20.144,0.000,60.000,7,6,4,6,18,15,56,12.500,10.714,7.143,10.714,32.143,26.786
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",16,"B","win",14.101,0.000,100.000,5,4,3,3,9,5,29,17.241,13.793,10.345,10.345,31.034,17.241
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",17,"B","win",20.167,0.000,60.000,7,6,4,5,16,15,53,13.208,11.321,7.547,9.434,30.189,28.302
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",18,"B","win",20.166,0.000,60.000,7,6,4,5,18,13,53,13.208,11.321,7.547,9.434,33.962,24.528
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",19,"B","win",20.162,0.000,60.000,7,6,4,6,18,15,56,12.500,10.714,7.143,10.714,32.143,26.786
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",20,"B","win",20.108,0.000,60.000,7,6,4,4,19,16,56,12.500,10.714,7.143,7.143,33.929,28.571
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",21,"B","win",20.175,0.000,60.000,7,6,4,6,18,14,55,12.727,10.909,7.273,10.909,32.727,25.455
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",22,"B","win",20.195,0.000,60.000,7,6,4,6,18,15,56,12.500,10.714,7.143,10.714,32.143,26.786
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",23,"B","win",20.155,0.000,60.000,7,6,4,6,16,14,53,13.208,11.321,7.547,11.321,30.189,26.415
