row_type,session_id,run_id,agent_type,analyze_target,episode,winner,result_for_analyzed,duration_sec,agent_a_final_hp,agent_b_final_hp,attack_count,block_count,dodge_count,move_toward_count,move_back_count,move_side_count,total_action_count,attack_ratio_percent,block_ratio_percent,dodge_ratio_percent,move_toward_ratio_percent,move_back_ratio_percent,move_side_ratio_percent
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",1,"A","loss",12.896,100.000,0.000,0,0,0,2,0,4,6,0.000,0.000,0.000,33.333,0.000,66.667
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",2,"A","loss",15.169,100.000,0.000,0,0,0,3,1,4,8,0.000,0.000,0.000,37.500,12.500,50.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",3,"A","loss",12.853,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",4,"A","loss",13.024,100.000,0.000,0,0,0,0,0,4,4,0.000,0.000,0.000,0.000,0.000,100.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",5,"A","loss",12.954,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",6,"A","loss",12.947,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",7,"A","loss",12.841,100.000,0.000,0,0,0,0,0,4,4,0.000,0.000,0.000,0.000,0.000,100.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",8,"A","loss",13.175,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",9,"A","loss",12.801,100.000,0.000,0,0,0,0,0,4,4,0.000,0.000,0.000,0.000,0.000,100.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",10,"A","loss",12.916,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",11,"A","loss",13.159,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",12,"A","loss",12.873,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",13,"A","loss",13.087,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",14,"A","loss",12.759,100.000,0.000,0,0,0,2,0,4,6,0.000,0.000,0.000,33.333,0.000,66.667
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",15,"A","loss",12.833,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",16,"A","loss",12.877,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",17,"A","loss",12.947,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",18,"A","loss",12.795,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",19,"A","loss",12.959,100.000,0.000,0,0,0,1,0,5,6,0.000,0.000,0.000,16.667,0.000,83.333
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",20,"A","loss",12.770,100.000,0.000,0,0,0,1,0,4,5,0.000,0.000,0.000,20.000,0.000,80.000
"EPISODE","20260609_193424","defender_RL_v1","RL","AgentB",21,"A","loss",12.754,100.000,0.000,0,0,0,0,0,4,4,0.000,0.000,0.000,0.000,0.000,100.000
