row_type,session_id,run_id,agent_type,analyze_target,episode,winner,result_for_analyzed,duration_sec,agent_a_final_hp,agent_b_final_hp,attack_count,block_count,dodge_count,move_toward_count,move_back_count,move_side_count,total_action_count,attack_ratio_percent,block_ratio_percent,dodge_ratio_percent,move_toward_ratio_percent,move_back_ratio_percent,move_side_ratio_percent
"EPISODE","20260609_203401","defender_v2","RL","AgentB",1,"A","loss",19.067,60.000,0.000,6,7,4,10,7,1,35,17.143,20.000,11.429,28.571,20.000,2.857
"EPISODE","20260609_203401","defender_v2","RL","AgentB",2,"B","win",16.667,0.000,100.000,6,6,2,3,2,1,20,30.000,30.000,10.000,15.000,10.000,5.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",3,"TimeoutDraw","timeout",60.000,40.000,80.000,20,18,10,11,16,2,77,25.974,23.377,12.987,14.286,20.779,2.597
"EPISODE","20260609_203401","defender_v2","RL","AgentB",4,"B","win",16.400,0.000,60.000,6,4,3,4,5,1,23,26.087,17.391,13.043,17.391,21.739,4.348
"EPISODE","20260609_203401","defender_v2","RL","AgentB",5,"A","loss",20.533,80.000,0.000,7,7,4,7,10,2,37,18.919,18.919,10.811,18.919,27.027,5.405
"EPISODE","20260609_203401","defender_v2","RL","AgentB",6,"TimeoutDraw","timeout",60.000,100.000,100.000,21,21,9,14,11,4,80,26.250,26.250,11.250,17.500,13.750,5.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",7,"A","loss",16.667,60.000,0.000,5,5,3,6,5,3,27,18.519,18.519,11.111,22.222,18.519,11.111
"EPISODE","20260609_203401","defender_v2","RL","AgentB",8,"A","loss",25.600,20.000,0.000,9,8,4,7,4,0,32,28.125,25.000,12.500,21.875,12.500,0.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",9,"B","win",16.000,0.000,100.000,6,6,2,2,2,0,18,33.333,33.333,11.111,11.111,11.111,0.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",10,"A","loss",20.533,80.000,0.000,7,7,2,13,9,2,40,17.500,17.500,5.000,32.500,22.500,5.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",11,"A","loss",20.533,60.000,0.000,7,7,3,11,6,3,37,18.919,18.919,8.108,29.730,16.216,8.108
"EPISODE","20260609_203401","defender_v2","RL","AgentB",12,"B","win",15.600,0.000,100.000,6,5,2,3,3,0,19,31.579,26.316,10.526,15.789,15.789,0.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",13,"A","loss",24.267,20.000,0.000,8,8,3,10,9,4,42,19.048,19.048,7.143,23.810,21.429,9.524
"EPISODE","20260609_203401","defender_v2","RL","AgentB",14,"A","loss",18.667,100.000,0.000,2,1,0,1,1,1,6,33.333,16.667,0.000,16.667,16.667,16.667
"EPISODE","20260609_203401","defender_v2","RL","AgentB",15,"B","win",17.467,0.000,100.000,6,6,3,1,2,0,18,33.333,33.333,16.667,5.556,11.111,0.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",16,"A","loss",14.267,100.000,0.000,5,4,3,7,7,3,29,17.241,13.793,10.345,24.138,24.138,10.345
"EPISODE","20260609_203401","defender_v2","RL","AgentB",17,"B","win",28.000,0.000,20.000,10,9,5,14,11,2,51,19.608,17.647,9.804,27.451,21.569,3.922
"EPISODE","20260609_203401","defender_v2","RL","AgentB",18,"A","loss",25.733,20.000,0.000,10,10,4,6,7,1,38,26.316,26.316,10.526,15.789,18.421,2.632
"EPISODE","20260609_203401","defender_v2","RL","AgentB",19,"B","win",16.133,0.000,100.000,6,6,2,3,0,0,17,35.294,35.294,11.765,17.647,0.000,0.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",20,"B","win",18.533,0.000,80.000,7,6,3,5,4,4,29,24.138,20.690,10.345,17.241,13.793,13.793
"EPISODE","20260609_203401","defender_v2","RL","AgentB",21,"B","win",26.533,0.000,80.000,10,8,5,8,11,1,43,23.256,18.605,11.628,18.605,25.581,2.326
"EPISODE","20260609_203401","defender_v2","RL","AgentB",22,"A","loss",16.533,80.000,0.000,7,5,3,8,8,4,35,20.000,14.286,8.571,22.857,22.857,11.429
"EPISODE","20260609_203401","defender_v2","RL","AgentB",23,"A","loss",16.800,80.000,0.000,5,3,3,6,4,1,22,22.727,13.636,13.636,27.273,18.182,4.545
"EPISODE","20260609_203401","defender_v2","RL","AgentB",24,"B","win",24.133,0.000,40.000,9,7,4,10,8,2,40,22.500,17.500,10.000,25.000,20.000,5.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",25,"A","loss",14.133,100.000,0.000,6,5,3,12,7,5,38,15.789,13.158,7.895,31.579,18.421,13.158
"EPISODE","20260609_203401","defender_v2","RL","AgentB",26,"B","win",23.467,0.000,20.000,9,7,4,5,6,3,34,26.471,20.588,11.765,14.706,17.647,8.824
"EPISODE","20260609_203401","defender_v2","RL","AgentB",27,"A","loss",26.267,20.000,0.000,9,9,5,12,11,4,50,18.000,18.000,10.000,24.000,22.000,8.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",28,"A","loss",15.467,100.000,0.000,4,3,1,4,2,1,15,26.667,20.000,6.667,26.667,13.333,6.667
"EPISODE","20260609_203401","defender_v2","RL","AgentB",29,"A","loss",14.267,100.000,0.000,6,5,3,7,4,0,25,24.000,20.000,12.000,28.000,16.000,0.000
"EPISODE","20260609_203401","defender_v2","RL","AgentB",30,"A","loss",23.067,60.000,0.000,9,8,4,14,10,2,47,19.149,17.021,8.511,29.787,21.277,4.255
"EPISODE","20260609_203401","defender_v2","RL","AgentB",31,"B","win",23.067,0.000,40.000,8,8,4,5,9,2,36,22.222,22.222,11.111,13.889,25.000,5.556
"EPISODE","20260609_203401","defender_v2","RL","AgentB",32,"A","loss",25.200,20.000,0.000,10,9,4,6,9,3,41,24.390,21.951,9.756,14.634,21.951,7.317
"EPISODE","20260609_203401","defender_v2","RL","AgentB",33,"TimeoutDraw","timeout",60.000,100.000,100.000,21,20,10,10,20,4,85,24.706,23.529,11.765,11.765,23.529,4.706
"EPISODE","20260609_203401","defender_v2","RL","AgentB",34,"A","loss",25.600,40.000,0.000,10,9,4,12,10,1,46,21.739,19.565,8.696,26.087,21.739,2.174
