row_type,session_id,run_id,agent_type,analyze_target,episode,winner,result_for_analyzed,duration_sec,agent_a_final_hp,agent_b_final_hp,attack_count,block_count,dodge_count,move_toward_count,move_back_count,move_side_count,total_action_count,attack_ratio_percent,block_ratio_percent,dodge_ratio_percent,move_toward_ratio_percent,move_back_ratio_percent,move_side_ratio_percent,agent_a_win_rate_percent,agent_b_win_rate_percent,draw_rate_percent,timeout_rate_percent,analyzed_win_rate_percent,avg_duration_sec
"EPISODE","20260608_232453","BaselineAttacker","BT","AgentA",1,"B","loss",37.351,0.000,20.000,12,0,1,23,18,15,69,17.391,0.000,1.449,33.333,26.087,21.739,,,,,,
"EPISODE","20260608_232453","BaselineAttacker","BT","AgentA",2,"A","win",28.067,20.000,0.000,10,0,1,20,14,9,54,18.519,0.000,1.852,37.037,25.926,16.667,,,,,,
"EPISODE","20260608_232453","BaselineAttacker","BT","AgentA",3,"A","win",27.481,20.000,0.000,9,0,2,22,20,14,67,13.433,0.000,2.985,32.836,29.851,20.896,,,,,,
"EPISODE","20260608_232453","BaselineAttacker","BT","AgentA",4,"B","loss",36.707,0.000,40.000,11,0,3,30,19,16,79,13.924,0.000,3.797,37.975,24.051,20.253,,,,,,
"EPISODE","20260608_232453","BaselineAttacker","BT","AgentA",5,"A","win",28.708,60.000,0.000,9,0,0,17,12,6,44,20.455,0.000,0.000,38.636,27.273,13.636,,,,,,
"EPISODE","20260608_232453","BaselineAttacker","BT","AgentA",6,"A","win",47.588,20.000,0.000,14,0,7,28,22,13,84,16.667,0.000,8.333,33.333,26.190,15.476,,,,,,
"EPISODE","20260608_232453","BaselineAttacker","BT","AgentA",7,"B","loss",29.040,0.000,40.000,9,0,1,25,21,15,71,12.676,0.000,1.408,35.211,29.577,21.127,,,,,,
"EPISODE","20260608_232453","BaselineAttacker","BT","AgentA",8,"A","win",36.280,20.000,0.000,11,0,3,26,15,14,69,15.942,0.000,4.348,37.681,21.739,20.290,,,,,,
"EPISODE","20260608_232453","BaselineAttacker","BT","AgentA",9,"A","win",30.268,40.000,0.000,8,0,0,31,27,14,80,10.000,0.000,0.000,38.750,33.750,17.500,,,,,,
"EPISODE","20260608_232453","BaselineAttacker","BT","AgentA",10,"A","win",30.732,20.000,0.000,10,0,2,26,18,11,67,14.925,0.000,2.985,38.806,26.866,16.418,,,,,,
