row_type,session_id,run_id,agent_type,analyze_target,episode,winner,result_for_analyzed,duration_sec,agent_a_final_hp,agent_b_final_hp,attack_count,block_count,dodge_count,move_toward_count,move_back_count,move_side_count,total_action_count,attack_ratio_percent,block_ratio_percent,dodge_ratio_percent,move_toward_ratio_percent,move_back_ratio_percent,move_side_ratio_percent
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",1,"B","win",25.782,0.000,60.000,7,8,4,10,10,2,41,17.073,19.512,9.756,24.390,24.390,4.878
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",2,"B","win",21.792,0.000,40.000,6,5,4,7,6,7,35,17.143,14.286,11.429,20.000,17.143,20.000
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",3,"A","loss",17.323,40.000,0.000,4,5,3,4,3,2,21,19.048,23.810,14.286,19.048,14.286,9.524
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",4,"A","loss",26.558,40.000,0.000,5,6,4,13,9,10,47,10.638,12.766,8.511,27.660,19.149,21.277
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",5,"A","loss",14.739,60.000,0.000,3,4,2,4,2,3,18,16.667,22.222,11.111,22.222,11.111,16.667
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",6,"A","loss",27.026,60.000,0.000,3,6,4,9,7,2,31,9.677,19.355,12.903,29.032,22.581,6.452
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",7,"B","win",21.782,0.000,40.000,6,5,4,6,6,3,30,20.000,16.667,13.333,20.000,20.000,10.000
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",8,"B","win",31.346,0.000,40.000,7,8,5,12,11,6,49,14.286,16.327,10.204,24.490,22.449,12.245
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",9,"B","win",21.798,0.000,40.000,6,5,4,6,5,4,30,20.000,16.667,13.333,20.000,16.667,13.333
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",10,"A","loss",37.828,20.000,0.000,7,7,6,20,15,12,67,10.448,10.448,8.955,29.851,22.388,17.910
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",11,"TimeoutDraw","timeout",60.059,60.000,40.000,3,4,3,4,7,8,29,10.345,13.793,10.345,13.793,24.138,27.586
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",12,"B","win",30.603,0.000,100.000,5,7,5,9,10,6,42,11.905,16.667,11.905,21.429,23.810,14.286
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",13,"B","win",34.447,0.000,40.000,7,9,6,12,9,7,50,14.000,18.000,12.000,24.000,18.000,14.000
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",14,"B","win",27.801,0.000,20.000,6,3,5,11,7,5,37,16.216,8.108,13.514,29.730,18.919,13.514
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",15,"B","win",35.456,0.000,40.000,6,8,6,15,9,7,51,11.765,15.686,11.765,29.412,17.647,13.725
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",16,"A","loss",33.223,20.000,0.000,7,9,5,10,6,2,39,17.949,23.077,12.821,25.641,15.385,5.128
"EPISODE","20260608_234855","BaselineDefender","BT","AgentB",17,"B","win",22.172,0.000,80.000,5,3,4,13,11,8,44,11.364,6.818,9.091,29.545,25.000,18.182
