row_type,session_id,run_id,agent_type,analyze_target,episode,winner,result_for_analyzed,duration_sec,agent_a_final_hp,agent_b_final_hp,attack_count,block_count,dodge_count,move_toward_count,move_back_count,move_side_count,total_action_count,attack_ratio_percent,block_ratio_percent,dodge_ratio_percent,move_toward_ratio_percent,move_back_ratio_percent,move_side_ratio_percent
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",1,"A","loss",12.700,100.000,0.000,0,0,0,67,66,28,161,0.000,0.000,0.000,41.615,40.994,17.391
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",2,"A","loss",12.726,100.000,0.000,0,0,0,50,50,28,128,0.000,0.000,0.000,39.063,39.063,21.875
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",3,"A","loss",12.721,100.000,0.000,0,0,0,70,70,32,172,0.000,0.000,0.000,40.698,40.698,18.605
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",4,"A","loss",12.744,100.000,0.000,0,0,0,61,61,37,159,0.000,0.000,0.000,38.365,38.365,23.270
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",5,"A","loss",12.735,100.000,0.000,0,0,0,68,68,36,172,0.000,0.000,0.000,39.535,39.535,20.930
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",6,"A","loss",12.752,100.000,0.000,0,0,0,58,57,31,146,0.000,0.000,0.000,39.726,39.041,21.233
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",7,"A","loss",12.718,100.000,0.000,0,0,0,42,42,32,116,0.000,0.000,0.000,36.207,36.207,27.586
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",8,"A","loss",12.726,100.000,0.000,0,0,0,69,67,28,164,0.000,0.000,0.000,42.073,40.854,17.073
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",9,"A","loss",12.700,100.000,0.000,0,0,0,73,72,29,174,0.000,0.000,0.000,41.954,41.379,16.667
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",10,"A","loss",12.751,100.000,0.000,0,0,0,70,69,32,171,0.000,0.000,0.000,40.936,40.351,18.713
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",11,"A","loss",12.708,100.000,0.000,0,0,0,68,68,36,172,0.000,0.000,0.000,39.535,39.535,20.930
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",12,"A","loss",12.708,100.000,0.000,0,0,0,71,71,30,172,0.000,0.000,0.000,41.279,41.279,17.442
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",13,"A","loss",12.699,100.000,0.000,0,0,0,68,68,28,164,0.000,0.000,0.000,41.463,41.463,17.073
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",14,"A","loss",12.697,100.000,0.000,0,0,0,69,68,35,172,0.000,0.000,0.000,40.116,39.535,20.349
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",15,"A","loss",12.698,100.000,0.000,0,0,0,69,68,33,170,0.000,0.000,0.000,40.588,40.000,19.412
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",16,"A","loss",12.700,100.000,0.000,0,0,0,69,69,32,170,0.000,0.000,0.000,40.588,40.588,18.824
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",17,"A","loss",12.724,100.000,0.000,0,0,0,70,70,33,173,0.000,0.000,0.000,40.462,40.462,19.075
"EPISODE","20260609_183545","defender_RL_v1","RL","AgentB",18,"A","loss",12.732,100.000,0.000,0,0,0,71,71,28,170,0.000,0.000,0.000,41.765,41.765,16.471
