row_type,session_id,run_id,agent_type,analyze_target,episode,winner,result_for_analyzed,duration_sec,agent_a_final_hp,agent_b_final_hp,attack_count,block_count,dodge_count,move_toward_count,move_back_count,move_side_count,total_action_count,attack_ratio_percent,block_ratio_percent,dodge_ratio_percent,move_toward_ratio_percent,move_back_ratio_percent,move_side_ratio_percent
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",1,"A","loss",13.867,100.000,0.000,5,5,3,9,6,1,29,17.241,17.241,10.345,31.034,20.690,3.448
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",2,"B","win",21.733,0.000,40.000,8,6,4,6,10,4,38,21.053,15.789,10.526,15.789,26.316,10.526
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",3,"B","win",26.000,0.000,20.000,9,7,4,6,8,1,35,25.714,20.000,11.429,17.143,22.857,2.857
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",4,"TimeoutDraw","timeout",60.133,100.000,100.000,20,19,10,14,24,6,93,21.505,20.430,10.753,15.054,25.806,6.452
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",5,"A","loss",24.800,20.000,0.000,8,8,4,10,11,2,43,18.605,18.605,9.302,23.256,25.581,4.651
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",6,"A","loss",23.067,40.000,0.000,7,6,4,9,9,3,38,18.421,15.789,10.526,23.684,23.684,7.895
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",7,"TimeoutDraw","timeout",60.000,100.000,100.000,20,20,9,7,18,2,76,26.316,26.316,11.842,9.211,23.684,2.632
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",8,"A","loss",27.733,20.000,0.000,9,10,5,11,8,5,48,18.750,20.833,10.417,22.917,16.667,10.417
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",9,"A","loss",14.400,100.000,0.000,4,4,3,9,8,2,30,13.333,13.333,10.000,30.000,26.667,6.667
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",10,"B","win",30.267,0.000,20.000,11,9,5,10,14,3,52,21.154,17.308,9.615,19.231,26.923,5.769
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",11,"A","loss",24.267,20.000,0.000,8,7,4,10,9,1,39,20.513,17.949,10.256,25.641,23.077,2.564
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",12,"B","win",24.133,0.000,40.000,8,7,4,10,8,3,40,20.000,17.500,10.000,25.000,20.000,7.500
"EPISODE","20260609_203312","defender_cbs_v3","RL","AgentB",13,"A","loss",21.600,60.000,0.000,8,7,4,12,9,2,42,19.048,16.667,9.524,28.571,21.429,4.762
